id,title,released,developer,publisher,released_on
1,"A Line in the Sand",1992,"Strategic Simulations","Strategic Simulations",1992-01-01
2,"A-10 Tank Killer",1989,Dynamix,Dynamix,1989-01-01
3,"A320 Airbus",1993,"Knowledge Adventure","Knowledge Adventure",1993-01-01
4,AAARGH!,1988,"Synergistic Software","Arcadia Systems",1988-01-01
5,"Abandoned Places-A Time for Heroes",1992,ArtGame,"International Computer Entertainment",1992-01-01
6,"Abbey of Montglane, The",1993,"Art LaFrana","Art LaFrana",1993-01-01
7,"ABC Monday Night Football",1989,"Park Place Productions","Data East",1989-01-01
8,"ABC Wide World of Sports Boxing",1991,"Data East","Data East",1991-01-01
9,"Aber Hallo!",1997,"Krisalis Software","media Verlagsgesellschaft",1997-01-01
10,"Abrams Battle Tank",1991,Sega,Sega,1991-01-01
11,"A Brief Tryst",1992,Fruitsoft,"H.E.P. Group",1992-01-01
12,"Absolute Pinball",1995,"21st Century Entertainment","21st Century Entertainment",1995-01-01
13,"Absolute Zero",1995,Edirol,"Eidos Interactive",1995-01-01
14,Abuse,1996,"Crack Dot Com","Origin Systems",1996-01-01
15,Accordion,1990,Softdisk,Softdisk,1990-01-01
16,"ACE 2",1987,"Artronic Limited","Artronic Limited",1987-01-01
17,"ACE: Air Combat Emulator",1987,UXB,Spinnaker,1987-01-01
18,"Ace of Aces",1987,"Artech Digital Entertainment","Accolade Inc.",1987-01-01
19,"Aces of the Deep",1994,Dynamix,"Sierra On-Line",1994-01-01
20,"Aces of the Pacific",1992,Dynamix,"Sierra Entertainment",1992-01-01
21,"Aces Over Europe",1993,Dynamix,"Sierra On-Line",1993-01-01
22,Acheton,1987,Topologika,Topologika,1987-01-01
23,"Acid Tetris",1998,"Dungeon Dwellers Design","Sonic Foundry",1998-01-01
24,"Ack Ack Attack",1995,"PLBM Games","PLBM Games",1995-01-01
25,"Across the Rhine",1995,Microprose,Microprose,1995-01-01
26,"Action Fighter",1989,Sega,"Firebird Software",1989-01-01
27,"Action in the North Atlantic",1989,"General Quarters Software","General Quarters Software",1989-01-01
28,"Action Soccer",1995,"Ludi Media",Ubisoft,1995-01-01
29,"Action Stations",1991,"RAW Entertainment","RAW Entertainment",1991-01-01
30,"Actua Soccer",1995,"Gremlin Interactive","Gremlin Interactive",1995-01-01
31,"Advanced NetWars",1997,Caldera,Caldera,1997-01-01
32,"Advantage Tennis",1991,Infogrames,Infogrames,1991-01-01
33,Adventure,1977,"William Crowther & Don Woods","William Crowther & Don Woods",1977-01-01
34,"Adventure Construction Set",1987,"Electronic Arts","Electronic Arts",1987-01-01
35,"Adventure Math",1992,"Epic MegaGames","Epic MegaGames",1992-01-01
36,"Adventures in Math",1983,IBM,IBM,1983-01-01
37,"Adventures of the Smart Patrol","","","",
38,"Adventures of Captain Comic, The",1988,"Michael Denio","Michael Denio",1988-01-01
39,"Adventures of Maddog Williams in the Dungeons of Duridian, The",1992,"Game Crafters","Game Crafters",1992-01-01
40,"Adventures of Melvin Freebush, The",1993,"Sherwood Forest Software","Sherwood Forest Software",1993-01-01
